date,store_id,product_name,units_sold,revenue,stock_level,promotion,region,day_of_week,month,quarter,year
2023-04-13,S004,Ibuprofen,193,163.99,20,False,South,Thursday,4,2,2023
2023-04-14,S002,Ibuprofen,130,326.46,306,False,South,Friday,4,2,2023
2023-04-15,S001,Omega-3,19,585.35,37,False,North,Saturday,4,2,2023
2023-04-16,S005,Paracetamol,167,1214.24,275,True,East,Sunday,4,2,2023
2023-04-17,S003,Paracetamol,162,1367.89,156,False,West,Monday,4,2,2023
2023-04-18,S004,Magnesium,112,913.3,178,False,East,Tuesday,4,2,2023
2023-04-19,S003,Aspirin,93,919.29,131,False,South,Wednesday,4,2,2023
2023-04-20,S003,Magnesium,142,1462.81,310,False,South,Thursday,4,2,2023
2023-04-21,S001,Vitamin D,74,80.85,454,False,East,Friday,4,2,2023
2023-04-22,S003,Vitamin C,186,715.13,347,False,North,Saturday,4,2,2023
2023-04-23,S005,Ibuprofen,12,1646.48,27,False,East,Sunday,4,2,2023
2023-04-24,S003,Magnesium,182,1226.28,259,False,East,Monday,4,2,2023
2023-04-25,S001,Aspirin,151,707.59,405,False,West,Tuesday,4,2,2023
2023-04-26,S005,Aspirin,129,1815.77,75,True,West,Wednesday,4,2,2023
2023-04-27,S002,Magnesium,167,1556.61,428,True,East,Thursday,4,2,2023
2023-04-28,S003,Omega-3,77,566.55,66,False,East,Friday,4,2,2023
2023-04-29,S001,Ibuprofen,155,1308.32,341,False,South,Saturday,4,2,2023
2023-04-30,S002,Omega-3,199,1211.71,491,True,West,Sunday,4,2,2023
2023-05-01,S002,Vitamin C,46,832.32,193,False,West,Monday,5,2,2023
2023-05-02,S004,Aspirin,162,765.56,471,True,South,Tuesday,5,2,2023
2023-05-03,S005,Aspirin,185,719.94,161,False,North,Wednesday,5,2,2023
2023-05-04,S003,Vitamin D,190,1253.45,346,False,West,Thursday,5,2,2023
2023-05-05,S001,Vitamin C,82,912.7,438,False,West,Friday,5,2,2023
2023-05-06,S004,Aspirin,152,1672.13,360,False,North,Saturday,5,2,2023
2023-05-07,S005,Vitamin C,58,1355.73,256,False,West,Sunday,5,2,2023
2023-05-08,S004,Ibuprofen,130,186.37,71,True,West,Monday,5,2,2023
2023-05-09,S005,Paracetamol,97,1298.33,86,False,North,Tuesday,5,2,2023
2023-05-10,S005,Aspirin,149,578.74,421,False,North,Wednesday,5,2,2023
2023-05-11,S003,Vitamin D,196,1205.98,261,False,East,Thursday,5,2,2023
2023-05-12,S005,Ibuprofen,46,1376.26,213,False,South,Friday,5,2,2023
2023-05-13,S004,Magnesium,70,500.12,152,True,South,Saturday,5,2,2023
2023-05-14,S005,Vitamin C,180,940.87,209,False,North,Sunday,5,2,2023
2023-05-15,S003,Magnesium,133,421.13,400,False,North,Monday,5,2,2023
2023-05-16,S003,Omega-3,48,152.06,60,False,West,Tuesday,5,2,2023
2023-05-17,S004,Ibuprofen,193,788.03,267,False,East,Wednesday,5,2,2023
2023-05-18,S002,Magnesium,72,757.74,261,False,East,Thursday,5,2,2023
2023-05-19,S002,Aspirin,55,1991.19,217,False,North,Friday,5,2,2023
2023-05-20,S005,Vitamin C,97,920.39,282,True,West,Saturday,5,2,2023
2023-05-21,S001,Paracetamol,20,700.46,135,False,West,Sunday,5,2,2023
2023-05-22,S005,Ibuprofen,71,1181.93,466,False,South,Monday,5,2,2023
2023-05-23,S004,Aspirin,86,223.1,379,False,South,Tuesday,5,2,2023
2023-05-24,S004,Vitamin D,162,1925.25,361,False,West,Wednesday,5,2,2023
2023-05-25,S004,Omega-3,61,1288.17,448,False,South,Thursday,5,2,2023
2023-05-26,S004,Vitamin C,13,1521.93,440,True,North,Friday,5,2,2023
2023-05-27,S004,Ibuprofen,68,382.43,92,False,West,Saturday,5,2,2023
2023-05-28,S003,Ibuprofen,81,848.48,108,False,South,Sunday,5,2,2023
2023-05-29,S002,Paracetamol,157,874.24,240,False,East,Monday,5,2,2023
2023-05-30,S004,Paracetamol,102,1652.52,354,False,West,Tuesday,5,2,2023
2023-05-31,S001,Vitamin D,72,52.41,423,False,West,Wednesday,5,2,2023
2023-06-01,S001,Omega-3,63,636.66,141,False,East,Thursday,6,2,2023
2023-06-02,S001,Vitamin D,126,1963.41,290,True,North,Friday,6,2,2023
2023-06-03,S001,Aspirin,119,976.03,431,False,East,Saturday,6,2,2023
2023-06-04,S003,Aspirin,83,795.93,236,False,West,Sunday,6,2,2023
2023-06-05,S001,Vitamin D,116,283.67,339,True,North,Monday,6,2,2023
2023-06-06,S004,Omega-3,66,1949.62,311,True,South,Tuesday,6,2,2023
2023-06-07,S005,Vitamin D,178,89.05,176,False,South,Wednesday,6,2,2023
2023-06-08,S001,Omega-3,12,1487.5,140,False,South,Thursday,6,2,2023
2023-06-09,S003,Omega-3,129,1548.77,188,False,West,Friday,6,2,2023
2023-06-10,S003,Magnesium,15,525.13,485,True,East,Saturday,6,2,2023
2023-06-11,S001,Vitamin C,14,1359.54,48,False,North,Sunday,6,2,2023
2023-06-12,S005,Omega-3,14,231.21,301,False,South,Monday,6,2,2023
2023-06-13,S001,Paracetamol,63,551.24,368,False,North,Tuesday,6,2,2023
2023-06-14,S003,Omega-3,56,1586.41,189,False,West,Wednesday,6,2,2023
2023-06-15,S002,Omega-3,186,1736.14,135,False,South,Thursday,6,2,2023
2023-06-16,S004,Omega-3,18,1236.55,42,False,West,Friday,6,2,2023
2023-06-17,S003,Magnesium,108,1038.33,403,False,East,Saturday,6,2,2023
2023-06-18,S001,Magnesium,29,360.64,379,False,West,Sunday,6,2,2023
2023-06-19,S004,Aspirin,131,173.06,352,False,West,Monday,6,2,2023
2023-06-20,S001,Magnesium,70,279.42,89,False,East,Tuesday,6,2,2023
2023-06-21,S001,Paracetamol,132,493.35,294,False,North,Wednesday,6,2,2023
2023-06-22,S002,Paracetamol,172,716.27,340,True,East,Thursday,6,2,2023
2023-06-23,S004,Magnesium,187,792.77,244,True,East,Friday,6,2,2023
2023-06-24,S004,Vitamin D,91,725.33,432,True,West,Saturday,6,2,2023
2023-06-25,S002,Vitamin C,71,516.16,191,False,North,Sunday,6,2,2023
2023-06-26,S003,Magnesium,154,1043.96,317,False,South,Monday,6,2,2023
2023-06-27,S001,Omega-3,12,1659.31,105,True,East,Tuesday,6,2,2023
2023-06-28,S005,Ibuprofen,169,595.42,362,False,North,Wednesday,6,2,2023
2023-06-29,S001,Vitamin C,22,1887.65,309,False,East,Thursday,6,2,2023
2023-06-30,S001,Vitamin C,129,1753.01,381,False,East,Friday,6,2,2023
2023-07-01,S003,Paracetamol,134,365.44,232,False,East,Saturday,7,3,2023
2023-07-02,S001,Vitamin C,98,1583.24,264,False,East,Sunday,7,3,2023
2023-07-03,S002,Magnesium,82,1170.45,343,True,West,Monday,7,3,2023
2023-07-04,S002,Omega-3,77,1154.82,36,False,North,Tuesday,7,3,2023
2023-07-05,S004,Omega-3,151,812.53,304,False,North,Wednesday,7,3,2023
2023-07-06,S005,Aspirin,110,1027.25,40,False,North,Thursday,7,3,2023
2023-07-07,S001,Omega-3,107,824.5,16,False,East,Friday,7,3,2023
2023-07-08,S001,Omega-3,20,1102.48,343,False,West,Saturday,7,3,2023
2023-07-09,S003,Paracetamol,114,1274.5,276,True,East,Sunday,7,3,2023
2023-07-10,S002,Omega-3,193,1364.89,306,True,East,Monday,7,3,2023
2023-07-11,S005,Aspirin,76,1088.34,58,False,North,Tuesday,7,3,2023
2023-07-12,S004,Ibuprofen,132,1456.77,422,False,East,Wednesday,7,3,2023
2023-07-13,S002,Magnesium,38,325.49,182,True,South,Thursday,7,3,2023
2023-07-14,S004,Paracetamol,146,463.37,40,False,East,Friday,7,3,2023
2023-07-15,S003,Ibuprofen,162,1646.53,38,False,South,Saturday,7,3,2023
2023-07-16,S003,Paracetamol,85,678.93,396,False,East,Sunday,7,3,2023
2023-07-17,S001,Vitamin D,179,94.64,191,False,West,Monday,7,3,2023
2023-07-18,S005,Vitamin C,18,349.89,266,False,West,Tuesday,7,3,2023
2023-07-19,S004,Vitamin D,49,486.05,493,False,North,Wednesday,7,3,2023
2023-07-20,S002,Omega-3,34,1916.78,146,True,East,Thursday,7,3,2023
2023-07-21,S003,Ibuprofen,14,1167.43,394,False,South,Friday,7,3,2023
2023-07-22,S001,Omega-3,148,1868.82,332,False,South,Saturday,7,3,2023
2023-07-23,S001,Vitamin C,196,1171.57,126,False,East,Sunday,7,3,2023
2023-07-24,S004,Paracetamol,133,984.74,45,False,South,Monday,7,3,2023
2023-07-25,S003,Vitamin C,47,661.77,44,False,West,Tuesday,7,3,2023
2023-07-26,S005,Aspirin,81,1232.42,0,False,South,Wednesday,7,3,2023
2023-07-27,S003,Vitamin C,142,321.44,167,False,North,Thursday,7,3,2023
2023-07-28,S004,Aspirin,185,1801.61,107,False,West,Friday,7,3,2023
2023-07-29,S004,Vitamin C,99,1667.2,18,True,West,Saturday,7,3,2023
2023-07-30,S003,Magnesium,155,669.19,331,False,West,Sunday,7,3,2023
2023-07-31,S004,Aspirin,46,1907.96,71,False,East,Monday,7,3,2023
2023-08-01,S003,Ibuprofen,69,1659.14,455,True,East,Tuesday,8,3,2023
2023-08-02,S002,Omega-3,185,1349.3,444,False,West,Wednesday,8,3,2023
2023-08-03,S003,Omega-3,37,287.44,108,False,East,Thursday,8,3,2023
2023-08-04,S003,Vitamin D,90,982.56,267,False,South,Friday,8,3,2023
2023-08-05,S004,Omega-3,123,1036.91,444,False,East,Saturday,8,3,2023
2023-08-06,S004,Paracetamol,49,503.48,239,False,East,Sunday,8,3,2023
2023-08-07,S001,Magnesium,54,205.93,416,False,West,Monday,8,3,2023
2023-08-08,S001,Vitamin C,71,1564.61,300,False,North,Tuesday,8,3,2023
2023-08-09,S002,Vitamin D,102,287.97,89,True,North,Wednesday,8,3,2023
2023-08-10,S001,Paracetamol,124,1208.87,102,False,North,Thursday,8,3,2023
2023-08-11,S003,Paracetamol,195,1876.08,475,False,South,Friday,8,3,2023
2023-08-12,S004,Aspirin,76,1758.41,249,False,East,Saturday,8,3,2023
2023-08-13,S001,Omega-3,65,591.62,452,False,North,Sunday,8,3,2023
2023-08-14,S001,Ibuprofen,49,1710.32,7,False,West,Monday,8,3,2023
2023-08-15,S002,Ibuprofen,107,50.65,152,True,North,Tuesday,8,3,2023
2023-08-16,S002,Vitamin D,49,84.49,346,False,North,Wednesday,8,3,2023
2023-08-17,S003,Magnesium,100,1224.98,173,False,East,Thursday,8,3,2023
2023-08-18,S004,Ibuprofen,42,761.36,342,False,East,Friday,8,3,2023
2023-08-19,S002,Vitamin C,15,803.6,157,True,East,Saturday,8,3,2023
2023-08-20,S001,Ibuprofen,156,1150.66,492,True,South,Sunday,8,3,2023
2023-08-21,S004,Vitamin D,89,423.98,430,False,South,Monday,8,3,2023
2023-08-22,S004,Ibuprofen,177,462.92,214,False,North,Tuesday,8,3,2023
2023-08-23,S001,Vitamin C,101,994.97,176,False,East,Wednesday,8,3,2023
2023-08-24,S002,Aspirin,106,1520.79,174,False,North,Thursday,8,3,2023
2023-08-25,S001,Magnesium,68,1258.02,339,False,West,Friday,8,3,2023
2023-08-26,S004,Vitamin D,68,629.84,337,False,West,Saturday,8,3,2023
2023-08-27,S005,Aspirin,57,889.16,145,False,East,Sunday,8,3,2023
2023-08-28,S005,Aspirin,178,382.8,449,False,East,Monday,8,3,2023
2023-08-29,S003,Aspirin,22,195.53,323,True,West,Tuesday,8,3,2023
2023-08-30,S001,Paracetamol,116,1576.26,477,False,East,Wednesday,8,3,2023
2023-08-31,S001,Magnesium,54,567.51,160,True,South,Thursday,8,3,2023
2023-09-01,S003,Omega-3,98,396.64,126,False,South,Friday,9,3,2023
2023-09-02,S003,Magnesium,190,1398.66,419,False,East,Saturday,9,3,2023
2023-09-03,S003,Paracetamol,179,1255.2,81,True,West,Sunday,9,3,2023
2023-09-04,S004,Omega-3,109,1284.72,484,False,North,Monday,9,3,2023
2023-09-05,S001,Magnesium,164,496.34,146,False,East,Tuesday,9,3,2023
2023-09-06,S004,Aspirin,175,503.66,238,False,East,Wednesday,9,3,2023
2023-09-07,S003,Vitamin D,197,480.57,411,False,North,Thursday,9,3,2023
2023-09-08,S001,Omega-3,16,388.82,423,True,East,Friday,9,3,2023
2023-09-09,S004,Vitamin C,142,1328.66,83,False,North,Saturday,9,3,2023
2023-09-10,S004,Vitamin C,54,1703.63,112,False,West,Sunday,9,3,2023
2023-09-11,S003,Ibuprofen,67,1462.42,224,False,South,Monday,9,3,2023
2023-09-12,S001,Omega-3,40,1594.58,331,False,West,Tuesday,9,3,2023
2023-09-13,S003,Vitamin D,32,839.36,377,False,South,Wednesday,9,3,2023
2023-09-14,S001,Paracetamol,179,1325.45,242,False,North,Thursday,9,3,2023
2023-09-15,S005,Aspirin,147,740.76,142,False,South,Friday,9,3,2023
2023-09-16,S002,Ibuprofen,169,1074.73,40,False,West,Saturday,9,3,2023
2023-09-17,S002,Vitamin C,116,989.19,422,False,South,Sunday,9,3,2023
2023-09-18,S002,Paracetamol,190,394.93,257,False,North,Monday,9,3,2023
2023-09-19,S003,Paracetamol,167,804.8,446,False,South,Tuesday,9,3,2023
2023-09-20,S005,Aspirin,48,1929.45,284,False,East,Wednesday,9,3,2023
2023-09-21,S001,Omega-3,168,534.73,104,False,West,Thursday,9,3,2023
2023-09-22,S004,Vitamin C,91,310.92,201,False,East,Friday,9,3,2023
2023-09-23,S001,Vitamin D,109,866.23,449,True,North,Saturday,9,3,2023
2023-09-24,S004,Paracetamol,11,1591.16,306,False,South,Sunday,9,3,2023
2023-09-25,S001,Aspirin,86,1185.19,330,True,East,Monday,9,3,2023
2023-09-26,S005,Vitamin D,21,1377.9,460,False,East,Tuesday,9,3,2023
2023-09-27,S004,Omega-3,48,419.9,265,False,South,Wednesday,9,3,2023
2023-09-28,S003,Vitamin C,22,1256.95,397,True,South,Thursday,9,3,2023
2023-09-29,S001,Omega-3,55,680.83,209,True,West,Friday,9,3,2023
2023-09-30,S001,Paracetamol,164,1676.89,50,True,East,Saturday,9,3,2023
2023-10-01,S004,Vitamin D,122,1277.13,117,False,East,Sunday,10,4,2023
2023-10-02,S003,Vitamin D,26,437.77,200,False,North,Monday,10,4,2023
2023-10-03,S003,Vitamin D,113,176.0,376,False,West,Tuesday,10,4,2023
2023-10-04,S005,Paracetamol,107,133.13,38,False,North,Wednesday,10,4,2023
2023-10-05,S003,Paracetamol,197,774.25,27,False,East,Thursday,10,4,2023
2023-10-06,S003,Omega-3,97,568.41,258,False,North,Friday,10,4,2023
2023-10-07,S003,Ibuprofen,118,1309.88,83,False,East,Saturday,10,4,2023
2023-10-08,S002,Omega-3,172,1023.7,453,False,East,Sunday,10,4,2023
2023-10-09,S005,Vitamin C,79,568.74,154,False,North,Monday,10,4,2023
2023-10-10,S001,Aspirin,167,341.01,116,False,North,Tuesday,10,4,2023
2023-10-11,S004,Vitamin D,83,298.04,1,False,South,Wednesday,10,4,2023
2023-10-12,S001,Ibuprofen,72,1736.09,92,False,South,Thursday,10,4,2023
2023-10-13,S005,Aspirin,165,524.78,165,False,South,Friday,10,4,2023
2023-10-14,S004,Ibuprofen,69,1320.84,386,False,East,Saturday,10,4,2023
2023-10-15,S005,Magnesium,88,1630.84,399,False,North,Sunday,10,4,2023
2023-10-16,S003,Omega-3,46,1247.46,349,False,West,Monday,10,4,2023
2023-10-17,S004,Paracetamol,31,1726.15,295,False,East,Tuesday,10,4,2023
2023-10-18,S003,Vitamin D,157,815.17,257,False,West,Wednesday,10,4,2023
2023-10-19,S001,Omega-3,105,1914.63,80,False,North,Thursday,10,4,2023
2023-10-20,S001,Aspirin,77,309.63,424,True,East,Friday,10,4,2023
2023-10-21,S004,Magnesium,26,249.19,267,False,West,Saturday,10,4,2023
2023-10-22,S004,Magnesium,21,1334.45,418,False,West,Sunday,10,4,2023
2023-10-23,S005,Magnesium,159,1888.52,234,False,South,Monday,10,4,2023
2023-10-24,S005,Aspirin,154,1627.32,320,True,South,Tuesday,10,4,2023
2023-10-25,S003,Aspirin,147,199.01,310,True,South,Wednesday,10,4,2023
2023-10-26,S004,Aspirin,127,594.77,300,False,East,Thursday,10,4,2023
2023-10-27,S001,Aspirin,31,1864.12,462,False,North,Friday,10,4,2023
2023-10-28,S005,Magnesium,129,543.46,473,False,North,Saturday,10,4,2023
2023-10-29,S005,Magnesium,59,1573.28,356,False,South,Sunday,10,4,2023
2023-10-30,S001,Ibuprofen,23,1659.01,212,False,South,Monday,10,4,2023
2023-10-31,S005,Omega-3,184,1016.13,61,False,South,Tuesday,10,4,2023
2023-11-01,S003,Vitamin D,38,803.38,48,False,West,Wednesday,11,4,2023
2023-11-02,S004,Paracetamol,173,927.74,126,False,South,Thursday,11,4,2023
2023-11-03,S001,Magnesium,189,492.58,222,False,West,Friday,11,4,2023
2023-11-04,S004,Paracetamol,134,1784.31,408,True,North,Saturday,11,4,2023
2023-11-05,S005,Omega-3,16,928.71,278,False,East,Sunday,11,4,2023
2023-11-06,S005,Omega-3,38,1770.8,407,False,East,Monday,11,4,2023
2023-11-07,S001,Paracetamol,148,256.1,293,False,East,Tuesday,11,4,2023
2023-11-08,S003,Magnesium,42,1977.14,283,False,East,Wednesday,11,4,2023
2023-11-09,S002,Paracetamol,143,914.38,276,True,West,Thursday,11,4,2023
2023-11-10,S001,Ibuprofen,120,143.27,437,True,West,Friday,11,4,2023
2023-11-11,S002,Vitamin C,88,124.14,106,False,South,Saturday,11,4,2023
2023-11-12,S002,Magnesium,169,1505.1,145,True,West,Sunday,11,4,2023
2023-11-13,S003,Magnesium,188,1335.12,419,False,South,Monday,11,4,2023
2023-11-14,S002,Vitamin D,67,1614.15,98,False,South,Tuesday,11,4,2023
2023-11-15,S002,Aspirin,35,255.47,428,True,East,Wednesday,11,4,2023
2023-11-16,S003,Vitamin C,183,119.36,374,False,West,Thursday,11,4,2023
2023-11-17,S002,Omega-3,38,1041.73,72,False,West,Friday,11,4,2023
2023-11-18,S002,Magnesium,13,805.81,436,False,South,Saturday,11,4,2023
2023-11-19,S002,Paracetamol,108,950.8,485,False,South,Sunday,11,4,2023
2023-11-20,S001,Vitamin C,150,1983.6,121,False,North,Monday,11,4,2023
2023-11-21,S001,Vitamin D,48,1942.96,29,True,North,Tuesday,11,4,2023
2023-11-22,S001,Omega-3,24,1887.52,187,False,South,Wednesday,11,4,2023
2023-11-23,S003,Aspirin,128,1578.49,363,False,North,Thursday,11,4,2023
2023-11-24,S005,Aspirin,38,741.94,353,False,North,Friday,11,4,2023
2023-11-25,S002,Vitamin D,166,853.66,287,False,South,Saturday,11,4,2023
2023-11-26,S002,Vitamin D,84,1121.75,450,False,South,Sunday,11,4,2023
2023-11-27,S003,Paracetamol,125,1669.54,194,False,West,Monday,11,4,2023
2023-11-28,S002,Magnesium,41,183.99,155,False,South,Tuesday,11,4,2023
2023-11-29,S001,Aspirin,139,877.38,171,False,South,Wednesday,11,4,2023
2023-11-30,S005,Omega-3,184,211.1,334,False,East,Thursday,11,4,2023
2023-12-01,S004,Vitamin C,93,1053.58,40,False,West,Friday,12,4,2023
2023-12-02,S002,Omega-3,31,1802.86,62,False,West,Saturday,12,4,2023
2023-12-03,S001,Ibuprofen,36,1575.85,22,True,West,Sunday,12,4,2023
